winner,time,player_0_species,player_0_APM,player_0_attack,player_0_Ability,player_0_buildings,player_0_worker,player_0_nonworker,player_1_species,player_1_APM,player_1_attack,player_1_Ability,player_1_buildings,player_1_worker,player_1_nonworker
0,7.13,T,174.0,22,66,13,10,3,T,112.0,24,73,11,14,7
1,4.33,P,118.0,2,28,11,9,2,Z,125.0,5,22,3,10,3
0,5.37,T,53.0,0,17,7,4,1,P,127.0,3,24,7,11,1
1,2.13,Z,126.0,0,10,3,6,1,Z,101.0,0,6,2,2,1
0,3.37,Z,147.0,0,14,2,5,5,Z,156.0,0,15,4,4,5
0,9.2,P,100.0,3,66,22,15,3,Z,161.0,16,79,10,20,17
1,9.98,Z,153.0,3,45,5,8,16,T,111.0,8,63,10,11,9
1,8.52,Z,123.0,5,63,9,14,12,T,109.0,1,36,11,8,5
0,9.4,P,137.0,1,35,22,8,2,Z,91.0,4,35,8,7,9
1,7.62,Z,83.0,5,54,13,9,12,T,110.0,9,59,12,13,2
0,4.0,T,164.0,0,15,6,6,1,T,120.0,7,25,6,9,2
1,4.08,Z,50.0,2,20,4,6,5,T,142.0,0,23,7,9,2
0,5.22,P,42.0,0,22,9,9,1,T,71.0,0,19,6,6,0
0,9.97,T,98.0,0,52,18,14,10,T,65.0,0,30,10,4,5
0,9.97,P,50.0,1,33,9,8,8,Z,45.0,2,28,4,5,9
0,5.73,P,95.0,1,22,10,7,2,Z,42.0,4,22,1,8,7
1,5.1,T,136.0,13,41,11,1,10,Z,155.0,5,28,1,8,10
1,7.62,Z,108.0,7,46,6,10,12,Z,125.0,2,45,9,16,10
1,9.98,Z,112.0,10,74,14,23,14,P,110.0,7,83,23,19,4
1,5.03,P,116.0,1,21,8,8,1,T,104.0,2,24,8,8,2
1,2.83,Z,77.0,0,7,1,5,1,Z,208.0,0,12,2,5,3
1,8.42,T,112.0,25,93,16,16,13,Z,150.0,8,52,5,15,15
0,6.98,Z,72.0,0,34,6,10,9,P,114.0,0,36,13,12,3
1,6.35,P,75.0,10,38,11,8,4,P,111.0,6,36,11,10,4
1,6.83,T,68.0,4,50,10,13,6,P,89.0,4,36,10,12,6
1,3.22,T,70.0,0,15,4,5,2,Z,130.0,0,11,1,7,2
0,5.63,T,128.0,6,30,8,10,2,T,156.0,6,38,6,9,4
1,10.68,Z,81.0,2,69,16,17,14,P,80.0,4,44,13,10,2
0,9.98,T,113.0,5,67,11,9,13,P,79.0,5,46,15,13,5
0,8.35,P,83.0,4,34,12,12,3,P,73.0,3,46,13,12,4
0,5.25,P,115.0,1,28,9,8,3,P,147.0,18,36,6,7,3
0,9.98,P,53.0,1,39,13,11,5,T,53.0,1,38,17,7,5
1,5.93,Z,128.0,4,30,6,7,7,P,118.0,7,34,10,13,0
0,9.98,P,116.0,7,58,17,15,9,Z,109.0,4,40,10,11,8
0,9.98,T,117.0,3,76,19,17,8,T,78.0,5,76,20,14,11
1,10.98,T,83.0,2,80,19,17,15,P,86.0,0,53,17,15,6
1,2.28,Z,74.0,0,7,2,4,1,Z,64.0,0,5,2,2,0
0,7.58,T,137.0,4,39,12,9,4,T,75.0,0,29,9,4,7
1,4.53,Z,178.0,3,27,2,11,6,P,216.0,0,35,5,13,1
0,6.08,T,67.0,1,28,8,10,5,Z,70.0,0,24,1,8,10
1,9.98,P,120.0,4,36,15,6,6,T,115.0,0,55,17,11,5
1,7.87,P,113.0,11,61,10,26,4,Z,106.0,7,40,5,8,12
1,6.75,T,81.0,1,35,10,11,7,T,41.0,3,36,9,9,6
0,9.98,T,83.0,7,65,13,9,14,P,45.0,2,43,17,9,6
1,9.7,P,85.0,9,55,12,12,9,Z,113.0,9,61,12,13,9
1,9.98,T,143.0,7,84,20,19,14,T,103.0,11,79,21,17,3
1,3.4,P,109.0,0,16,5,9,0,Z,84.0,0,11,2,5,3
1,4.05,P,135.0,0,18,8,6,2,T,72.0,3,25,7,7,1
1,9.98,Z,64.0,2,34,4,10,11,T,72.0,12,45,7,3,7
0,7.45,Z,119.0,21,53,7,8,10,Z,128.0,15,56,8,11,12
0,5.2,P,88.0,0,27,10,10,3,P,93.0,0,27,11,9,3
0,5.85,T,138.0,5,29,11,6,1,P,76.0,2,24,11,6,3
1,8.22,Z,201.0,18,74,8,18,18,P,174.0,19,102,22,31,7
0,3.53,T,59.0,0,9,5,1,1,P,114.0,0,6,3,2,1
1,5.3,P,55.0,1,24,11,7,2,T,48.0,0,19,5,3,3
0,8.53,T,70.0,13,58,14,13,8,P,45.0,0,21,9,4,7
1,10.85,Z,97.0,7,65,14,11,17,Z,131.0,10,70,11,15,21
0,9.98,T,83.0,4,72,23,18,9,T,146.0,2,81,19,22,11
1,7.87,Z,179.0,5,62,6,11,19,T,127.0,14,75,16,18,6
0,1.03,P,32.0,2,3,0,1,0,T,45.0,0,3,1,2,0
0,8.03,P,151.0,13,71,9,26,5,P,177.0,25,101,14,30,5
1,4.4,P,89.0,0,26,11,6,2,Z,57.0,4,19,1,6,6
1,10.47,T,86.0,7,66,17,12,12,Z,137.0,11,64,13,15,15
0,4.0,Z,100.0,6,25,4,5,8,Z,190.0,7,27,3,6,6
0,3.53,Z,81.0,2,13,1,6,3,Z,122.0,0,16,2,5,5
0,4.32,T,213.0,9,33,8,9,1,Z,109.0,8,25,3,10,2
1,6.92,Z,90.0,2,33,6,8,10,P,150.0,5,44,16,9,4
1,8.43,Z,104.0,21,67,7,16,13,T,120.0,25,88,16,17,5
0,9.85,Z,147.0,9,72,9,21,15,T,177.0,24,98,17,22,8
0,6.93,P,136.0,4,47,11,17,4,P,157.0,8,44,11,11,5
0,4.52,Z,120.0,4,22,1,6,7,Z,161.0,13,37,3,8,4
1,8.1,P,70.0,1,31,14,9,5,P,89.0,1,29,16,5,3
0,9.98,P,71.0,1,37,14,6,5,P,44.0,0,22,7,5,4
0,9.98,P,155.0,34,103,15,26,9,Z,170.0,25,98,18,21,18
1,9.98,Z,112.0,13,85,18,21,14,P,119.0,2,81,19,25,7
1,9.98,T,139.0,7,88,21,21,16,P,66.0,11,69,16,20,4
0,6.27,Z,124.0,10,34,4,5,11,Z,181.0,6,28,2,5,9
1,9.98,P,86.0,16,61,13,15,5,Z,48.0,8,55,10,11,14
1,3.23,T,90.0,1,15,5,6,0,P,85.0,2,14,7,3,0
1,6.73,P,110.0,4,47,9,15,4,Z,85.0,6,50,6,16,13
1,4.9,T,90.0,0,31,11,6,4,P,72.0,7,26,4,8,4
0,9.57,Z,109.0,0,56,10,16,16,T,109.0,5,49,10,6,11
0,8.7,Z,186.0,14,53,7,11,13,Z,98.0,22,71,9,11,13
0,9.12,Z,105.0,3,62,9,18,13,P,160.0,9,80,17,25,8
1,6.55,P,83.0,0,29,10,6,2,T,90.0,2,29,7,10,6
1,9.98,Z,147.0,5,64,9,10,19,P,76.0,10,57,20,12,2
0,10.48,Z,113.0,1,55,9,11,19,T,121.0,1,59,12,11,9
0,9.98,T,181.0,13,95,18,20,16,T,193.0,22,118,21,32,13
1,4.37,P,68.0,2,24,7,8,1,P,54.0,0,17,7,9,0
0,2.97,Z,134.0,0,12,2,7,2,P,118.0,0,23,7,10,0
1,9.98,P,115.0,21,93,15,26,9,T,176.0,27,122,23,21,18
0,7.33,P,101.0,5,45,13,15,3,Z,103.0,2,37,11,9,7
1,8.37,P,69.0,0,55,20,21,7,Z,170.0,1,52,6,15,13
1,9.98,Z,101.0,5,55,13,15,11,P,81.0,11,50,17,5,6
0,6.98,T,124.0,5,47,12,8,8,T,205.0,5,66,10,8,8
0,9.98,T,88.0,27,81,15,9,4,Z,171.0,15,67,11,7,17
1,9.98,T,139.0,16,91,15,16,14,T,89.0,15,78,16,18,9
1,4.22,Z,58.0,0,14,5,3,5,T,42.0,0,15,6,4,3
0,2.82,T,77.0,7,18,5,4,0,T,115.0,0,13,4,6,1
1,4.03,P,32.0,0,11,7,2,1,P,68.0,0,11,6,3,2
1,10.13,P,124.0,0,52,12,15,5,T,102.0,7,75,17,14,15
0,8.45,Z,116.0,3,53,10,14,11,Z,120.0,7,39,8,5,10
1,4.67,Z,111.0,2,25,3,7,5,P,116.0,0,25,8,12,2
1,4.45,Z,160.0,0,22,2,10,5,P,178.0,1,32,7,17,1
0,8.35,Z,176.0,10,66,12,14,10,P,155.0,10,78,14,31,8
1,9.98,T,164.0,4,88,19,16,11,P,96.0,14,68,17,14,6
1,9.98,T,111.0,3,68,18,19,5,P,134.0,3,79,17,25,7
0,9.98,T,118.0,20,67,8,14,10,T,132.0,36,88,13,12,7
0,9.97,P,60.0,0,42,16,14,5,P,51.0,0,38,15,15,3
0,5.45,P,80.0,2,25,6,8,4,P,143.0,9,30,4,5,3
0,3.75,Z,66.0,0,14,3,3,6,P,45.0,0,17,7,9,0
1,7.97,P,42.0,0,12,9,3,0,T,124.0,0,52,18,14,9
0,3.33,Z,186.0,2,18,4,9,1,P,148.0,1,17,5,7,0
0,3.03,Z,138.0,0,7,3,2,2,Z,32.0,1,9,2,4,1
1,1.53,Z,150.0,0,9,2,5,1,P,92.0,0,7,3,4,0
1,9.98,Z,79.0,18,63,4,9,18,P,113.0,7,58,19,14,5
0,10.93,Z,145.0,3,76,16,16,17,P,106.0,9,46,17,12,7
1,8.62,P,59.0,0,24,11,6,1,P,100.0,0,34,11,9,7
1,6.93,P,61.0,2,39,18,14,0,T,155.0,26,71,11,13,12
1,6.37,Z,139.0,9,54,6,17,9,P,164.0,16,66,14,22,5
0,4.38,Z,184.0,3,21,5,8,3,P,134.0,0,22,7,9,3
1,9.98,P,86.0,3,58,18,15,6,Z,82.0,2,57,11,14,11
1,9.95,T,75.0,0,41,13,13,6,T,73.0,0,25,16,2,3
0,9.98,P,55.0,5,50,13,14,7,T,141.0,20,91,20,14,17
0,3.8,Z,259.0,2,20,2,9,3,Z,117.0,0,14,1,10,2
0,4.1,P,31.0,0,22,9,9,3,T,114.0,5,26,5,8,1
1,6.72,T,68.0,0,39,13,9,14,P,45.0,0,22,12,7,1
1,9.97,P,85.0,9,44,10,16,6,Z,116.0,12,59,11,10,12
0,5.67,T,186.0,21,61,12,12,8,P,211.0,1,33,11,13,3
1,4.9,Z,101.0,7,33,5,5,8,Z,150.0,4,22,4,6,4
1,4.03,Z,34.0,0,9,2,3,2,Z,54.0,1,15,1,5,4
0,9.97,P,76.0,15,78,20,15,11,T,116.0,6,52,14,7,9
1,10.1,P,184.0,18,71,15,21,8,P,84.0,19,72,11,15,5
1,5.38,P,127.0,3,27,7,10,2,T,118.0,8,37,10,10,3
1,6.03,T,81.0,3,68,8,9,4,P,121.0,11,48,13,17,2
0,3.53,T,173.0,2,19,5,7,2,T,127.0,0,22,6,9,2
1,4.6,Z,97.0,0,17,4,5,3,T,78.0,6,26,7,6,2
0,5.68,Z,86.0,2,32,6,14,6,Z,78.0,4,31,6,9,8
1,9.98,Z,94.0,8,46,9,10,13,Z,88.0,3,57,9,16,12
1,6.88,T,204.0,12,54,13,14,4,P,150.0,24,53,8,10,4
1,9.98,T,170.0,25,120,22,21,9,Z,201.0,22,122,17,24,35
0,9.95,T,50.0,1,49,19,16,5,P,118.0,3,55,21,16,5
0,3.62,T,59.0,3,22,5,7,5,T,106.0,4,22,4,7,3
1,9.98,Z,238.0,14,73,10,17,15,T,152.0,26,111,16,16,8
0,6.7,T,36.0,0,21,11,3,5,T,67.0,0,11,6,4,1
1,3.42,T,142.0,1,19,6,7,1,T,108.0,6,24,3,8,1
0,6.58,P,103.0,3,29,9,10,4,Z,117.0,1,31,2,5,20
0,9.98,Z,147.0,14,90,11,17,26,T,130.0,23,117,11,19,20
1,7.02,T,110.0,9,49,13,15,3,T,76.0,1,45,12,13,9
1,9.98,T,73.0,0,36,17,9,1,P,72.0,0,38,18,7,2
0,7.4,Z,171.0,8,46,5,14,10,T,200.0,15,73,14,16,2
0,9.97,P,82.0,0,56,15,14,7,P,85.0,4,47,17,13,6
0,9.75,Z,86.0,0,64,6,21,21,T,80.0,0,76,22,18,18
1,1.93,T,55.0,6,7,0,0,0,T,108.0,1,11,3,5,0
0,7.02,P,101.0,6,47,10,18,6,T,58.0,3,44,12,7,6
0,7.7,Z,115.0,14,62,11,12,10,T,161.0,17,79,10,18,2
0,5.23,T,147.0,9,32,10,8,1,P,76.0,5,23,9,5,1
0,10.73,P,96.0,38,106,22,16,7,Z,110.0,7,78,11,16,18
0,0.5,Z,140.0,0,3,1,2,0,Z,60.0,0,3,0,2,1
0,4.33,T,95.0,5,28,7,7,3,P,78.0,0,15,10,5,0
1,3.85,P,86.0,0,13,8,3,2,T,99.0,5,30,5,10,1
0,9.15,T,174.0,24,84,16,19,12,T,248.0,10,78,13,18,11
0,4.77,T,135.0,34,60,7,7,3,Z,116.0,11,30,1,4,7
1,9.98,T,136.0,10,92,21,15,12,Z,164.0,7,74,15,17,11
0,8.68,T,148.0,15,71,23,13,5,T,105.0,17,53,13,8,5
0,9.73,T,79.0,15,89,18,17,15,P,71.0,8,64,12,19,4
1,5.38,Z,77.0,1,22,4,4,8,Z,108.0,1,24,3,7,9
1,4.7,P,162.0,4,24,8,8,2,P,160.0,0,26,11,9,4
0,9.98,Z,157.0,20,90,8,27,19,Z,154.0,11,67,10,15,12
0,9.97,T,238.0,11,94,20,21,12,Z,96.0,12,74,14,14,16
0,8.65,Z,202.0,61,130,12,25,19,P,151.0,37,116,19,21,10
1,0.13,P,454.0,0,0,0,0,0,P,123.0,0,1,0,1,0
0,8.78,P,117.0,1,32,12,10,2,P,51.0,2,21,9,6,1
1,10.47,T,72.0,0,51,18,5,19,T,116.0,4,71,20,17,13
1,9.98,T,76.0,3,64,17,11,2,T,240.0,12,89,19,24,14
0,5.3,T,100.0,1,27,7,7,6,P,126.0,6,31,10,10,2
0,3.7,P,185.0,5,24,7,9,0,P,101.0,0,19,10,7,1
1,9.98,T,101.0,22,92,23,18,8,T,134.0,11,94,20,17,16
0,9.28,T,185.0,15,84,18,13,11,T,108.0,4,57,15,18,5
1,8.68,Z,111.0,5,44,7,8,12,P,105.0,16,65,12,20,8
0,6.52,Z,139.0,2,28,5,10,3,Z,128.0,3,41,7,15,7
1,4.72,T,139.0,7,32,5,10,3,P,122.0,4,32,10,14,3
0,10.62,T,98.0,27,78,15,12,6,T,134.0,26,80,13,4,13
1,3.28,Z,114.0,1,12,1,3,5,Z,239.0,1,12,4,6,0
0,10.27,Z,103.0,7,61,7,12,20,Z,113.0,10,60,11,13,15
0,8.87,T,112.0,1,56,21,13,6,Z,103.0,1,37,8,11,11
0,10.28,Z,179.0,10,55,6,13,19,Z,109.0,15,81,14,20,12
1,7.35,Z,104.0,0,34,4,7,16,Z,121.0,4,41,9,6,9
0,9.82,T,72.0,3,40,12,9,3,T,63.0,0,27,10,4,5
0,9.98,T,203.0,15,107,26,25,11,T,115.0,8,82,23,17,18
1,8.05,Z,110.0,14,53,6,9,13,Z,102.0,12,35,3,4,9
0,5.42,P,127.0,1,26,10,8,4,P,68.0,7,26,6,7,2
0,9.75,P,165.0,16,87,17,26,7,T,230.0,21,106,19,32,9
1,6.13,P,129.0,2,21,10,5,1,P,69.0,5,27,11,9,1
0,9.97,P,84.0,8,53,12,17,6,P,51.0,0,25,12,5,0
0,5.53,Z,191.0,1,18,4,5,6,T,124.0,6,39,11,12,4
0,6.33,T,204.0,27,74,11,12,7,P,170.0,35,71,13,14,1
1,2.45,Z,46.0,1,9,2,2,3,T,68.0,0,11,4,6,0
0,9.98,T,222.0,55,150,22,22,17,Z,92.0,2,46,6,11,17
0,9.68,Z,73.0,2,62,15,22,12,T,79.0,14,82,17,21,10
1,10.75,Z,70.0,8,57,9,10,15,Z,180.0,10,84,9,17,28
1,9.98,Z,102.0,1,63,9,14,17,T,134.0,19,69,13,8,4
0,9.27,T,132.0,37,98,12,14,4,Z,119.0,10,64,8,20,10
0,7.05,T,132.0,7,54,12,5,5,Z,62.0,11,31,3,6,8
1,7.83,P,154.0,17,56,8,18,6,T,168.0,5,74,15,13,16
0,9.97,Z,50.0,0,52,9,18,11,T,47.0,0,22,9,6,4
0,8.83,Z,145.0,10,52,8,14,11,P,146.0,18,51,10,12,6
0,9.98,Z,76.0,2,50,10,14,11,T,111.0,0,51,17,12,4
1,3.73,T,37.0,0,7,4,3,0,Z,84.0,0,11,3,4,3
0,9.97,T,103.0,14,92,25,25,8,T,70.0,8,69,18,16,6
1,7.55,P,142.0,1,41,17,8,4,T,159.0,9,54,15,13,7
1,9.98,Z,173.0,24,86,6,20,17,Z,187.0,12,87,11,17,20
0,9.97,Z,103.0,18,74,10,11,10,T,146.0,10,83,13,19,16
0,9.98,T,172.0,39,126,16,18,14,T,154.0,14,87,19,22,4
0,9.98,Z,86.0,17,69,8,19,15,T,60.0,17,78,11,10,13
1,8.55,Z,89.0,2,45,2,12,15,T,122.0,0,58,16,11,16
0,8.92,Z,138.0,24,109,16,20,13,T,138.0,23,91,14,14,18
0,9.98,T,135.0,2,75,20,21,5,T,141.0,0,86,20,21,13
1,10.62,Z,112.0,2,63,14,11,10,T,145.0,9,70,17,9,11
1,9.92,P,97.0,12,69,19,22,5,T,177.0,4,101,27,24,12
1,4.33,Z,73.0,0,20,1,9,8,Z,83.0,2,21,1,8,8
1,1.77,T,25.0,0,6,2,3,0,P,106.0,2,10,3,5,0
0,3.93,Z,117.0,4,17,2,6,3,Z,84.0,0,17,3,10,3
1,3.47,Z,74.0,0,11,3,5,3,Z,71.0,3,14,2,5,2
1,7.23,T,83.0,1,22,5,4,3,T,35.0,3,34,15,7,3
0,7.07,T,117.0,7,61,14,15,8,T,105.0,8,34,7,3,5
1,4.03,P,142.0,0,17,8,5,1,Z,69.0,0,23,3,13,3
0,9.98,P,61.0,4,50,15,17,4,Z,110.0,4,43,4,6,20
1,9.98,P,117.0,12,68,19,21,5,P,128.0,2,62,18,24,9
1,5.2,P,79.0,0,14,8,4,0,P,138.0,0,17,12,5,0
0,5.03,Z,279.0,0,19,3,10,2,P,109.0,2,19,9,7,1
0,9.98,Z,80.0,0,69,17,17,17,T,70.0,0,42,15,10,6
1,6.35,Z,125.0,0,40,5,15,12,Z,107.0,5,41,10,15,5
1,6.78,Z,121.0,3,37,8,10,6,T,120.0,14,55,8,10,6
0,9.98,T,129.0,4,70,20,14,16,P,97.0,4,57,24,13,6
1,3.4,T,64.0,0,15,4,7,0,Z,94.0,0,10,1,7,2
1,8.22,Z,146.0,12,54,7,13,15,T,135.0,60,136,16,14,7
0,9.97,Z,99.0,0,57,8,21,17,T,119.0,7,91,19,10,12
1,8.87,T,130.0,2,70,15,16,14,Z,141.0,4,54,9,20,13
0,9.37,P,129.0,10,68,17,19,5,Z,122.0,3,73,10,23,18
1,3.32,Z,125.0,0,14,4,5,5,Z,50.0,0,12,3,5,3
1,5.32,Z,169.0,4,35,5,18,6,P,174.0,5,35,9,16,1
0,8.28,P,75.0,0,41,17,16,4,T,109.0,23,62,14,5,6
1,7.17,P,62.0,0,38,12,15,5,Z,132.0,3,34,6,9,8
1,4.53,P,101.0,5,26,7,10,0,T,156.0,12,40,6,13,3
0,10.95,Z,94.0,17,80,10,16,17,T,117.0,32,109,18,16,12
1,9.98,T,116.0,4,57,14,12,8,P,88.0,1,38,12,4,4
1,8.48,T,186.0,28,93,13,19,9,T,135.0,39,103,19,12,9
1,9.62,Z,92.0,11,64,7,12,19,P,114.0,4,77,27,28,5
0,7.65,P,86.0,3,40,10,15,3,P,62.0,3,27,8,8,5
0,9.98,Z,118.0,19,55,4,5,18,Z,113.0,16,87,10,13,12
0,9.98,P,105.0,15,75,18,20,6,Z,161.0,7,63,9,18,18
1,9.98,Z,155.0,2,44,9,12,14,Z,48.0,3,49,9,12,13
0,9.97,T,121.0,23,108,21,22,9,P,129.0,13,82,21,17,5
0,5.42,T,189.0,32,64,7,11,3,Z,136.0,4,23,4,6,4
0,7.42,Z,122.0,1,38,9,12,9,Z,111.0,3,47,7,15,9
0,7.92,T,203.0,8,73,14,18,12,P,157.0,9,62,15,19,7
0,5.37,Z,89.0,2,28,4,8,10,P,130.0,2,28,7,9,1
0,9.03,T,95.0,3,56,19,18,6,T,145.0,1,61,16,10,16
1,9.98,Z,170.0,20,82,15,14,17,Z,140.0,24,86,8,14,17
1,8.52,P,102.0,0,30,12,8,3,P,124.0,18,53,12,13,4
1,6.77,P,88.0,7,49,13,12,4,P,125.0,25,56,8,11,2
1,5.77,Z,155.0,6,37,5,10,6,Z,163.0,4,34,6,12,5
1,3.75,Z,118.0,0,15,5,7,2,Z,46.0,0,15,3,5,6
1,9.97,T,78.0,11,46,14,7,5,T,59.0,0,47,14,6,10
0,7.93,Z,156.0,16,85,15,19,19,T,145.0,31,83,12,15,4
1,1.83,P,71.0,0,5,2,3,0,P,81.0,1,4,2,1,0
0,9.97,Z,103.0,0,57,10,16,11,T,103.0,1,78,34,17,8
0,9.98,Z,91.0,1,47,8,10,17,P,87.0,1,55,26,12,5
0,4.12,T,247.0,14,39,5,8,3,T,158.0,9,23,5,7,1
0,5.52,P,219.0,1,32,7,15,5,Z,99.0,0,28,2,10,11
1,6.23,T,128.0,13,51,14,8,2,T,88.0,0,37,13,8,4
0,5.3,P,82.0,0,11,9,2,0,P,95.0,0,26,7,8,5
1,9.98,Z,153.0,15,77,6,13,24,Z,174.0,29,99,7,22,22
1,5.37,T,77.0,6,27,8,6,4,P,97.0,2,24,10,7,3
0,4.88,P,29.0,0,12,7,3,0,P,62.0,4,21,3,6,3
1,7.77,T,179.0,38,90,11,17,11,Z,134.0,21,79,9,15,20
0,9.02,T,117.0,29,113,18,28,6,Z,126.0,18,70,10,13,18
0,6.6,Z,90.0,5,36,8,5,11,T,60.0,0,21,8,9,2
1,9.5,T,88.0,20,76,13,14,11,Z,164.0,8,59,11,11,10
1,9.98,T,61.0,0,50,17,11,8,T,77.0,0,45,20,3,6
0,9.98,Z,95.0,2,53,7,16,11,P,78.0,1,38,12,10,6
0,9.97,P,100.0,14,57,17,8,9,P,99.0,4,47,19,13,3
0,9.98,T,124.0,5,57,17,8,13,Z,135.0,2,36,7,8,10
0,9.97,Z,104.0,15,61,8,9,15,T,99.0,29,120,19,17,24
1,6.42,T,85.0,4,40,9,8,7,T,56.0,2,38,9,9,4
0,9.97,T,105.0,4,63,15,8,17,T,84.0,3,50,14,9,8
1,10.08,Z,199.0,56,114,7,14,19,Z,214.0,37,94,7,14,21
0,1.15,P,48.0,0,3,1,2,0,P,83.0,0,4,1,3,0
1,10.25,T,92.0,4,58,8,7,9,Z,113.0,20,63,6,14,10
0,4.2,T,210.0,1,25,7,11,1,P,95.0,1,18,3,6,3
0,9.98,P,165.0,0,50,13,14,8,P,113.0,1,50,10,17,9
0,9.83,T,140.0,32,103,17,21,4,Z,132.0,7,42,5,7,14
1,8.22,T,61.0,3,53,11,8,9,Z,50.0,1,37,7,12,7
1,7.22,P,91.0,0,36,13,12,6,T,155.0,9,49,11,12,7
0,5.65,T,72.0,0,13,4,5,3,P,89.0,1,21,7,11,1
1,5.18,Z,138.0,4,27,4,7,8,P,73.0,3,23,8,7,3
0,10.9,Z,117.0,3,55,3,11,21,P,66.0,2,53,13,11,8
0,10.18,Z,68.0,1,63,16,14,13,Z,114.0,3,59,7,11,15
0,6.45,Z,193.0,11,33,4,4,7,Z,140.0,14,56,4,12,14
1,6.85,P,144.0,11,50,12,15,4,T,99.0,2,37,11,5,5
1,9.98,T,119.0,6,47,5,9,6,T,90.0,31,82,13,12,3
0,8.08,Z,65.0,5,40,7,10,11,T,42.0,0,34,10,3,5
0,5.98,T,104.0,4,30,10,8,2,T,84.0,8,39,8,9,3
0,5.47,Z,88.0,0,33,5,12,8,Z,85.0,1,28,2,11,9
0,2.23,T,148.0,0,9,2,6,1,Z,90.0,0,6,1,2,3
1,6.47,T,80.0,0,39,13,10,6,P,55.0,3,34,13,7,2
0,7.05,P,112.0,0,50,15,21,2,Z,134.0,8,43,8,11,9
1,8.28,Z,159.0,8,58,9,12,14,T,91.0,17,81,15,19,2
0,7.12,P,200.0,12,71,13,15,6,Z,128.0,5,36,3,8,10
1,9.97,T,42.0,0,22,12,1,2,P,77.0,11,56,13,10,2
0,8.57,T,77.0,0,56,12,16,9,P,115.0,0,38,10,16,4
1,4.47,T,131.0,12,26,4,6,2,T,170.0,21,50,9,8,4
1,10.13,T,88.0,2,38,18,7,8,P,81.0,1,53,14,14,13
0,3.67,P,188.0,3,20,7,6,2,T,191.0,4,25,5,8,4
0,9.98,P,103.0,24,72,15,20,3,T,111.0,1,77,19,20,11
0,4.5,Z,148.0,0,23,5,7,7,Z,50.0,1,19,4,7,4
1,8.3,Z,70.0,2,31,3,9,9,P,136.0,5,79,12,33,7
1,7.83,Z,159.0,5,37,6,9,12,Z,102.0,6,47,4,12,16
0,3.13,T,74.0,0,18,5,8,1,T,111.0,0,10,5,3,0
0,9.43,Z,124.0,14,59,5,12,17,Z,121.0,11,58,12,15,12
1,9.98,T,131.0,5,67,17,14,12,Z,100.0,2,61,12,14,15
0,9.38,Z,102.0,10,60,9,12,19,Z,129.0,4,43,4,4,17
1,7.92,T,91.0,2,33,10,6,6,P,90.0,1,34,14,8,2
1,9.98,T,172.0,6,61,15,13,8,Z,104.0,1,67,16,16,17
0,6.9,T,233.0,14,63,13,14,3,Z,112.0,5,47,10,8,11
1,8.65,Z,171.0,33,84,5,21,12,T,126.0,41,110,15,18,8
